Indv	PopLabel
A0167_jeffersonianum	jeffersonianum
A0573_jeffersonianum	jeffersonianum
A0574_jeffersonianum	jeffersonianum
A0576_jeffersonianum	jeffersonianum
A1070_jeffersonianum	jeffersonianum
A1858_jeffersonianum	jeffersonianum
A1859_jeffersonianum	jeffersonianum
A1861_jeffersonianum	jeffersonianum
A1864_jeffersonianum	jeffersonianum
A1865_jeffersonianum	jeffersonianum
A1872_jeffersonianum	jeffersonianum
A1888_jeffersonianum	jeffersonianum
A1889_jeffersonianum	jeffersonianum
A1873_jeffersonianum	jeffersonianum
A0392_jeffersonianum	jeffersonianum
A0394_jeffersonianum	jeffersonianum
A0395_jeffersonianum	jeffersonianum
A0397_jeffersonianum	jeffersonianum
A0398_jeffersonianum	jeffersonianum
A0404_jeffersonianum	jeffersonianum
A1328_jeffersonianum	jeffersonianum
A1330_jeffersonianum	jeffersonianum
A1363_jeffersonianum	jeffersonianum
A1364_jeffersonianum	jeffersonianum
A1367_jeffersonianum	jeffersonianum
A1369_jeffersonianum	jeffersonianum
A1371_jeffersonianum	jeffersonianum
A1351_jeffersonianum	jeffersonianum
A1065_unisexual_J	jeffersonianum-unisexual
A1071_unisexual_J	jeffersonianum-unisexual
A1076_unisexual_J	jeffersonianum-unisexual
A1077_unisexual_J	jeffersonianum-unisexual
A1868_unisexual_J	jeffersonianum-unisexual
A1877_unisexual_J	jeffersonianum-unisexual
A1880_unisexual_J	jeffersonianum-unisexual
A0572_unisexual_J	jeffersonianum-unisexual
A0578_unisexual_J	jeffersonianum-unisexual
A0579_unisexual_J	jeffersonianum-unisexual
A1074_unisexual_J	jeffersonianum-unisexual
A1079_unisexual_J	jeffersonianum-unisexual
A1080_unisexual_J	jeffersonianum-unisexual
A1862_unisexual_J	jeffersonianum-unisexual
A1870_unisexual_J	jeffersonianum-unisexual
A1885_unisexual_J	jeffersonianum-unisexual
A1882_unisexual_J	jeffersonianum-unisexual
A0413_unisexual_J	jeffersonianum-unisexual
A0411_unisexual_J	jeffersonianum-unisexual
A1223_unisexual_J	jeffersonianum-unisexual
A1224_unisexual_J	jeffersonianum-unisexual
A1233_unisexual_J	jeffersonianum-unisexual
A1235_unisexual_J	jeffersonianum-unisexual
A1409_unisexual_J	jeffersonianum-unisexual
A1411_unisexual_J	jeffersonianum-unisexual
E0145_unisexual_J	jeffersonianum-unisexual
E0738_unisexual_J	jeffersonianum-unisexual
E0979_unisexual_J	jeffersonianum-unisexual
E1140_unisexual_J	jeffersonianum-unisexual
E1172_unisexual_J	jeffersonianum-unisexual
E1173_unisexual_J	jeffersonianum-unisexual
E1182_unisexual_J	jeffersonianum-unisexual
E1188_unisexual_J	jeffersonianum-unisexual
A1283_unisexual_J	jeffersonianum-unisexual
A1289_unisexual_J	jeffersonianum-unisexual
A1296_unisexual_J	jeffersonianum-unisexual
A1300_unisexual_J	jeffersonianum-unisexual
A1301_unisexual_J	jeffersonianum-unisexual
A1302_unisexual_J	jeffersonianum-unisexual
A1305_unisexual_J	jeffersonianum-unisexual
A1314_unisexual_J	jeffersonianum-unisexual
A1331_unisexual_J	jeffersonianum-unisexual
A1332_unisexual_J	jeffersonianum-unisexual
A1333_unisexual_J	jeffersonianum-unisexual
A1352_unisexual_J	jeffersonianum-unisexual
A1353_unisexual_J	jeffersonianum-unisexual
A1354_unisexual_J	jeffersonianum-unisexual
A1355_unisexual_J	jeffersonianum-unisexual
A1356_unisexual_J	jeffersonianum-unisexual
A1362_unisexual_J	jeffersonianum-unisexual

